oid,matched_via,report_title,db_author,report_author
12077,541 N.W.2d 684,Disciplinary Board v. Neset,Levine,Per Curiam
11932,533 N.W.2d 145,Disciplinary Board v. Schubert-Madsen Consolw/ 950139 & 950140,Levine,Per Curiam
11997,537 N.W.2d 658,Disciplinary Board v. Qualley,VandeWalle,Per Curiam
12004,538 N.W.2d 778,Disciplinary Board v. Swanson,(none),Per Curiam
12635,575 N.W.2d 634,"District Judge Vacancy, Southeast Judicial District",Levine,Per Curiam
12165,546 N.W.2d 366,City of Bismarck v. Stuart (Ronald)        (See Docket Memo),(none),Per Curiam
12173,547 N.W.2d 541,Disciplinary Board v. Nassif (Cons. w/ 950400 & 950403),VandeWalle,Per Curiam
12204,549 N.W.2d 671,Disciplinary Board v. Orvik,(none),Per Curiam
12187,548 N.W.2d 372,Disciplinary Board v. LaQua,Meschke,Per Curiam
18258,1997 ND 195,Dougan v. Dougan,(none),Per Curiam
18256,1997 ND 186,Kryzsko v. Kryzsko,(none),Per Curiam
18254,1997 ND 184,State v. Leppert                    (CONSOLIDATED w/970041),(none),Per Curiam
18257,1997 ND 189,State v. Rieger  (CONSOLIDATED W/ 970064),(none),Per Curiam
18255,1997 ND 185,Laney v. Uecker,(none),Per Curiam
18253,1997 ND 183,State v. Novak,(none),Per Curiam
18262,1997 ND 211,"Pederson, et al. v. Kolschefsky",(none),Per Curiam
18261,1997 ND 208,Boehm v. Berger,(none),Per Curiam
18260,1997 ND 206,Austin v. State                    (cross-reference w/930261),(none),Per Curiam
18265,1997 ND 218,Gerard v. State  (CONSOL. w/970136; 970137)  (cross-ref. w/960264),(none),Per Curiam
18264,1997 ND 217,City of Fargo v. Rockwell,(none),Per Curiam
18259,1997 ND 198,"Dietrich v. ND Workers Comp. Bureau, et al.",(none),Per Curiam
18263,1997 ND 216,State v. Feigert,(none),Per Curiam
18303,1998 ND 3,Moran v. Sheppard,(none),Per Curiam
18267,1997 ND 220,Vetter v. Vetter,(none),Per Curiam
18269,1997 ND 242,State v. Blackhoop,(none),Per Curiam
18266,1997 ND 219,Pavlicek v. Allison,(none),Per Curiam
18302,1998 ND 28,State v. McMorrow,(none),Per Curiam
18282,1998 ND 1,"Morton v. Fladeland, et al.",(none),Per Curiam
18304,1998 ND 43,State v. Guilbert,(none),Per Curiam
18268,1997 ND 239,Foster v. State (Cross Ref. w/960025),(none),Per Curiam
18294,1998 ND 2,"Rheaume v. Dir., N.D. Dept. of Transportation",(none),Per Curiam
18301,1998 ND 27,Binstock v. Binstock,(none),Per Curiam
12526,1997 ND 196,Disciplinary Board v. Query,(none),Per Curiam
18306,1998 ND 47,Tetzloff v. Tetzloff,(none),Per Curiam
18313,1998 ND 84,State v. Black Cloud,(none),Per Curiam
18311,1998 ND 81,State v. Black Cloud            (cross-reference w/970322),(none),Per Curiam
12713,1998 ND 134,Disciplinary Board v. Dvorak,(none),Per Curiam
12569,1997 ND 234,Disciplinary Board v. Fisher (Consolidated w/ 970344),(none),Per Curiam
18312,1998 ND 82,Holzer v. Jochim (Cross-Reference w/ 950198 & 960061),(none),Per Curiam
18307,1998 ND 63,State v. Jorde,(none),Per Curiam
12782,1998 ND 206,Disciplinary Board v. Neset,(none),Per Curiam
18308,1998 ND 73,State v. Wruck,(none),Per Curiam
18309,1998 ND 79,City of Bismarck v. Fischer,(none),Per Curiam
18284,1998 ND 124,Tibor v. Tibor,(none),Per Curiam
18286,1998 ND 127,State v. Webb,(none),Per Curiam
12599,1998 ND 59,Judicial Vacancy in Northwest Judicial District,(none),Per Curiam
12600,1998 ND 58,Judicial Vacancy in South Central Judicial District,(none),Per Curiam
18310,1998 ND 80,State v. Novak                           (Cross-reference w/970083),(none),Per Curiam
18285,1998 ND 125,Barth v. Barth,(none),Per Curiam
18291,1998 ND 185,State v. Vasquez,(none),Per Curiam
18283,1998 ND 108,Bachmeier v. Bachmeier,(none),Per Curiam
18305,1998 ND 44,Interest of M.B.     (CONFIDENTIAL),(none),Per Curiam
12626,1998 ND 60,Disciplinary Board v. Swanson  (Consolidated w/ 980071),(none),Per Curiam
12675,1998 ND 90,Disciplinary Board v. Lee,(none),Per Curiam
18292,1998 ND 195,State v. Petersen,(none),Per Curiam
18287,1998 ND 162,Towne v. Dinius (Cross-reference w/ 960388),(none),Per Curiam
12657,1998 ND 98,Judicial Vacancy in the South Central Judicial District,(none),Per Curiam
12722,1998 ND 136,Petition for Change of Designation of Judgeship No. 8,(none),Per Curiam
18289,1998 ND 183,"Blackbird v. Olson, Director, Dept. of Human Services",(none),Per Curiam
18297,1998 ND 208,Buffalo v. Buffalo,(none),Per Curiam
18288,1998 ND 182,State v. Klein,(none),Per Curiam
18290,1998 ND 184,"Lee v. ND Workers Comp. Bur., et al.",(none),Per Curiam
18296,1998 ND 207,Gullickson v. Gullickson,(none),Per Curiam
18331,1999 ND 22,State v. Vincent,(none),Per Curiam
18295,1998 ND 205,Anton v. Moore,(none),Per Curiam
18293,1998 ND 196,"McGee, et al. v. Palczewski, d/b/a C.P. Welding",(none),Per Curiam
18335,1999 ND 4,Estate of Hartleib,(none),Per Curiam
18300,1998 ND 211,Reiswig v. Reiswig,(none),Per Curiam
18299,1998 ND 210,Hollis v. Moore,(none),Per Curiam
18323,1999 ND 20,State v. Richards,(none),Per Curiam
18298,1998 ND 209,Rodacker v. ND Workers Comp. Bureau,(none),Per Curiam
18322,1999 ND 19,"Roberson, et al. v. Anderson",(none),Per Curiam
18320,1999 ND 18,Dethloff v. Dethloff (Cross Ref. w/970233),(none),Per Curiam
18328,1999 ND 21,Hovland v. McCabe,(none),Per Curiam
12900,1999 ND 110,Disciplinary Board v. Moe,(none),Per Curiam
18336,1999 ND 40,State v. Palmer,(none),Per Curiam
18337,1999 ND 41,State v. Martineau              (CONSOLIDATED W/980364),(none),Per Curiam
18339,1999 ND 83,Krenz v. Krenz,(none),Per Curiam
18338,1999 ND 71,Vass v. Sissell,(none),Per Curiam
18315,1999 ND 101,State v. Stephens,(none),Per Curiam
18340,1999 ND 84,"Kouba v. FEBCO, Inc., et al. (Cross-reference w/950295 & 980094)",(none),Per Curiam
18341,1999 ND 99,City of West Fargo v. Stuart,(none),Per Curiam
18332,1999 ND 227,Renner v. Mikkelson,(none),Per Curiam
18317,1999 ND 123,State v. Miller,(none),Per Curiam
12873,1999 ND 69,"District Judge Vacancy, Southeast Judicial District",(none),Per Curiam
18319,1999 ND 141,"Jones v. Meyer,dba 50's Cafe",(none),Per Curiam
18321,1999 ND 186,Sand v. Sand,(none),Per Curiam
18316,1999 ND 108,Workers Comp. Bureau v. Erhardt,(none),Per Curiam
12919,1999 ND 122,Judicial Conduct Commission v. Hoffman (Consolidated w/990061-990063),(none),Per Curiam
18318,1999 ND 124,"Gajewski v. Dornacker, et al.",(none),Per Curiam
18324,1999 ND 206,Christianson v. Christianson,(none),Per Curiam
18327,1999 ND 209,State v. Tuchscherer,(none),Per Curiam
18330,1999 ND 211,"St. Yves v. DJ's Dance & Arcade, Inc.",(none),Per Curiam
13003,1999 ND 202,Disciplinary Board v. Landon,(none),Per Curiam
13160,1999 ND 82,Disciplinary Board v. Boughey,(none),Per Curiam
18314,1999 ND 100,Interest of D.S.A.  (CONFIDENTIAL - M.H.),(none),Per Curiam
18329,1999 ND 210,City of Valley City v. Stuart,(none),Per Curiam
13021,1999 ND 205,Disciplinary Board v. Boughey (CONSOLIDATED W/ 990184 & 19990304),(none),Per Curiam
12954,1999 ND 161,Disciplinary Board v. Robb,(none),Per Curiam
13037,1999 ND 229,Disciplinary Board v. Seaworth,(none),Per Curiam
18325,1999 ND 207,Syvertson v. Heit,(none),Per Curiam
18334,1999 ND 231,State v. Stibbe,(none),Per Curiam
13049,1999 ND 226,Matter of Abolition of Judgeship Under NDCC 27-05-02.1 (NEJD)(Ref. w/990246-249),VandeWalle,Per Curiam
18333,1999 ND 230,Meyers v. Meyers,(none),Per Curiam
18326,1999 ND 208,Hamilton v. Johnson,(none),Per Curiam
18364,2000 ND 4,Sissell v. Nagel    (CONSOLIDATED W/ 19990270),(none),Per Curiam
18368,2000 ND 66,State v. Dobson,(none),Per Curiam
13190,2000 ND 127,Montgomery v. Disciplinary Board,(none),Per Curiam
18370,2000 ND 69,State v. Johnson,(none),Per Curiam
18373,2000 ND 76,State v. Serr                                (Cross-reference w/970282),(none),Per Curiam
13077,2000 ND 19,"Strom-Sell v. Council for Concerned Citizens, et al.",(none),Per Curiam
18365,2000 ND 40,Spath v. State,(none),Per Curiam
18367,2000 ND 65,State v. Soum,(none),Per Curiam
18363,2000 ND 34,Schlafman v. Schell,(none),Per Curiam
18342,2000 ND 100,"Bublitz, dba DC Marketing v. Tsang, dba Purple Rooster",(none),Per Curiam
18366,2000 ND 5,"Navratil, et al. v. Schlatter, et al.",(none),Per Curiam
13130,2000 ND 48,State v. Farok,(none),Per Curiam
18369,2000 ND 68,State v. Sommer,(none),Per Curiam
13123,2000 ND 87,Disciplinary Board v. McDonald    (CONSOLIDATED W/990360 & 990361),(none),Per Curiam
18344,2000 ND 117,Stibbe v. Saunders     (See Docket Memo),(none),Per Curiam
18372,2000 ND 73,"Friedt, et al. v. Hettinger County, et al.",(none),Per Curiam
13162,2000 ND 98,Disciplinary Board v. Dvorak,(none),Per Curiam
18346,2000 ND 128,State v. Krall,(none),Per Curiam
18371,2000 ND 70,Emter v. Emter,(none),Per Curiam
18351,2000 ND 173,"Harn v. County of McKenzie, et al. (cross-reference w/980260)",(none),Per Curiam
18352,2000 ND 176,City of Fargo v. Doty,(none),Per Curiam
18348,2000 ND 142,Comes v. State,(none),Per Curiam
13176,2000 ND 99,Peterson v. ND Workers Comp. Bureau,(none),Per Curiam
18343,2000 ND 102,"Werlinger, et al. v. Champion Healthcare, et al. (cross w/990027 & 990032)",(none),Per Curiam
