opinion_id,citation,case_name,date_filed,reporter,status,db_words,src_words,diff_words,similarity,source_path
107,13 N.D. 663,State v. Gerhart,1905-03-06,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0663-State-v-Gearhart.doc
108,14 N.D. 368,State ex rel. Frich v. Stark County,1905-06-16,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0368-State-ex-rel-Frich-v-Stark-County.doc
109,14 N.D. 147,Colonial & United States Mortgage Co. v. Northwest Thresher Co.,1905-04-27,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0147-Colonial-And-United-States-Mortg-Co-v-Northwest-Thresher-Co.doc
110,14 N.D. 181,Colonial & United States Mortgage Co. v. Flemington,1905-05-01,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0181-Colonial-And-United-States-Mortg-Co-v-Flemington.doc
111,14 N.D. 189,Paine v. Dodds,1905-05-01,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0189-Paine-v-Dodds.doc
112,14 N.D. 311,Roberts v. Bope,1905-05-31,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0311-Roberts-v-Bope.doc
113,14 N.D. 301,Martinson v. Marzolf,1905-05-31,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0301-Martinson-v-Marzolf.doc
114,14 N.D. 340,Knight v. Board of County Commissioners,1905-06-05,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0340-Knight-v-Board-of-Com'rs-of-Cass-County.doc
115,14 N.D. 361,Couch v. State,1905-06-13,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0361-Couch-v-State.doc
116,14 N.D. 248,Sonnesyn v. Akin,1905-05-20,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0248-Sonnesyn-v-Akin.doc
117,14 N.D. 430,Morgridge v. Stoeffer,1905-10-02,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0430-Morgridge-v-Stoefer.doc
118,14 N.D. 529,State v. Brown,1905-11-09,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0529-State-v-Brown.doc
119,14 N.D. 390,Weisbecker v. Cahn,1905-06-22,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0390-Weisbocker-v-Cahn.doc
120,14 N.D. 417,Simonson v. Jenson,1905-07-03,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0417-Simonson-v-Jenson.doc
121,14 N.D. 355,O'Keefe v. Leistikow,1905-06-12,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0355-O'Keefe-v-Leistikow.doc
122,14 N.D. 331,Houghton Implement Co. v. Doughty,1905-05-31,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0331-Houghton-Implement-Co-v-Doughty.doc
123,14 N.D. 353,Lough v. White,1905-06-09,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0353-Lough-v-White.doc
124,14 N.D. 143,Bank of Park River v. Town of Norton,1905-04-22,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0143-Bank-of-Park-River-v-Town-of-Norton.doc
125,14 N.D. 405,Thompson v. Fargo Heating & Plumbing Co.,1905-06-28,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0405-Thompson-v-Fargo-Plumbing-And-Heating-Co.doc
126,14 N.D. 393,Friedlander v. Taintor,1905-06-23,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0393-Friedlander-v-Taintor.doc
127,14 N.D. 407,Scott & Barrett Mercantile Co. v. Nelson County,1905-06-28,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0407-Scott-And-Barrett-Mercantile-Co-v-Nelson-County.doc
128,14 N.D. 398,Stevens v. Meyers,1905-06-27,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0398-Stevens-v-Myers.doc
129,14 N.D. 411,State v. Williams,1905-06-28,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0411-State-v-Williams.doc
